,id,language
1331,14191536,French
1332,14186340,English
1333,13724533,French
1334,13572404,English
1335,38406710,French
1336,38159276,French
1337,33368285,English
1338,33283293,English
1339,28070957,English
1340,27593922,French
1341,27502137,French
1342,27351116,French
1343,26265678,French
1344,26130881,French
1345,35671925,English
1346,13308850,English
1347,12356676,English
1348,12251569,English
1349,11446022,English
1350,10882944,French
1351,38806971,French
1352,38398524,French
1353,38273021,French
1354,37728146,French
1355,37675138,English
1356,4498625,English
1357,4328154,French
1358,4129488,English
1359,35643676,French
1360,35507858,French
1361,25566737,English
1362,25541459,French
1363,24936619,French
1364,24442756,English
1365,24361839,English
1366,24072884,English
1367,23667001,French
1368,23515815,French
1369,23416119,French
1370,23247279,English
1371,22953696,French
1372,22681137,English
1373,22648409,English
1374,22097412,English
1375,21932034,English
1376,32934138,English
1377,32915024,English
1378,32864017,English
1379,32799522,French
1380,31936939,English
1381,31918840,English
1382,31820406,English
1383,31705844,French
1384,31108066,English
1385,31003322,French
1386,30561186,French
1387,30558118,English
1388,30534512,French
1389,28749906,French
1390,28612530,English
1391,21079290,French
1392,20741557,English
1393,39384750,French
1394,39104282,French
1395,39021172,French
1396,38745177,English
1397,38657739,French
1398,38580385,French
1399,38310017,English
1400,3036646,French
1401,2937656,English
1402,2899965,French
1403,2871273,French
1404,2444174,English
1405,2358001,English
1406,2208672,French
1407,2131235,English
1408,2044215,English
1409,1888948,English
1410,1438319,English
1411,1402445,English
1412,1276268,English
1413,1131934,French
1414,39100005,French
1415,39023672,French
1416,38990702,English
1417,4080071,French
1418,3762533,English
1419,3745170,English
1420,3744442,English
1421,3550089,English
1422,3470032,English
1423,3445118,English
1424,36618207,English
1425,36512527,English
1426,36441745,French
1427,36272161,French
1428,35869128,English
1429,35851928,French
1430,35820669,French
1431,35816687,English
1432,35634642,English
1433,35597053,French
1434,35329801,English
1435,35175555,English
1436,35090220,Korean
1437,34952389,English
1438,34673770,English
1439,27288,English
1440,39832864,French
1441,34539764,English
1442,34350670,French
1443,34295116,French
1444,20589383,Italian
1445,20158235,French
1446,20149398,English
1447,20066142,French
1448,19944071,French
1449,19858067,French
1450,19833196,French
1451,19828534,French
1452,19804571,French
1453,19753501,French
1454,19482294,French
1455,19269507,French
1456,19186136,English
1457,18969762,English
1458,18942367,French
1459,32202055,French
1460,16744992,English
1461,16743804,English
1462,16433891,English
1463,16049291,French
1464,15308771,English
1465,15263665,English
1466,14884196,French
1467,14324333,English
1468,14233240,French
1469,14075590,French
1470,14006734,French
1471,13913608,French
1472,13845782,French
1473,13817434,French
1474,13793644,French
1475,13764743,French
1476,13741374,French
1477,13620178,French
1478,13618286,French
1479,13600836,English
1480,13520797,English
1481,10379954,French
1482,9850093,French
1483,20486619,English
1484,20430872,French
1485,34099265,English
1486,9309035,French
1487,9192673,English
1488,9053195,English
1489,13290372,French
1490,12938853,French
1491,12708368,English
1492,12507137,English
1493,12480004,English
1494,12289386,English
1495,11811676,French
1496,11615086,English
1497,11523024,French
1498,11511266,French
1499,20547878,English
1500,20498768,English
1501,20345830,English
1502,20272134,English
1503,20240719,French
1504,20209161,English
1505,20199376,English
1506,20177679,French
1507,3677462,English
1508,3537295,French
1509,3351901,English
1510,3189029,French
1511,582251,English
1512,514402,English
1513,405212,English
1514,226556,English
1515,26701870,French
1516,26685670,French
1517,26612229,English
1518,26343534,English
1519,39828404,English
1520,39687459,French
1521,39519719,French
1522,39273521,French
1523,6459012,French
1524,6300718,French
1525,6232126,French
1526,5654383,English
1527,5528104,English
1528,5335327,French
1529,5275935,French
1530,5016507,French
1531,4915382,English
1532,4821734,French
1533,4763345,English
1534,4755502,English
1535,4585266,French
1536,37950481,French
1537,37904807,French
1538,37548444,English
1539,36861518,English
1540,1211637,English
1541,1139247,French
1542,1099881,French
1543,1080284,English
1544,35840133,French
1545,30166721,French
1546,30000918,English
1547,29943325,English
1548,29699812,English
1549,29324216,French
1550,35752876,English
1551,35147934,English
1552,35144214,English
1553,35105193,English
1554,35025840,French
1555,34954057,French
1556,34802922,French
1557,34765461,French
1558,34659264,English
1559,34434649,English
1560,34057942,English
1561,33599074,French
1562,38747915,English
1563,8929766,French
1564,26713353,French
1565,26546108,French
1566,26350155,French
1567,26067886,English
1568,25764296,English
1569,18532110,English
1570,18497941,French
1571,13238516,French
1572,13212289,French
1573,13165246,English
1574,13124044,French
1575,12977428,English
1576,12747422,English
1577,12509318,French
1578,28199030,French
1579,28049258,English
1580,27830581,English
1581,27624490,English
1582,27518015,French
1583,27497873,French
1584,27354033,English
1585,27179718,English
1586,27133876,French
1587,27119290,English
1588,27074946,French
1589,27070503,English
1590,20079687,English
1591,19938050,French
1592,19779637,Chinese
1593,31180018,French
1594,30977677,English
1595,29973808,English
1596,29726749,French
1597,29506520,English
1598,29228253,French
1599,29116455,English
1600,37227944,English
1601,36859882,English
1602,28505716,English
1603,23198890,English
1604,22927200,French
1605,22820314,French
1606,22266442,French
1607,22255160,French
1608,22063324,English
1609,21864778,French
1610,21766284,French
1611,21579408,French
1612,21004125,French
1613,20754454,French
1614,20724423,French
1615,33609638,English
1616,33341563,French
1617,33091748,French
1618,33063687,French
1619,11457416,English
1620,11448186,English
1621,11103426,French
1622,10110180,English
1623,9399890,French
1624,38859759,French
1625,30414303,English
1626,30267705,French
1627,29973939,French
1628,29952318,English
1629,29684045,French
1630,29606279,English
1631,29111544,English
1632,36547138,French
1633,20119618,French
1634,19939658,French
1635,19876216,French
1636,19865260,English
1637,19816917,French
1638,19740039,English
1639,19723888,English
1640,19687576,English
1641,19596584,French
1642,19569930,French
1643,19558169,French
1644,19518859,English
1645,19495277,English
1646,8047534,French
1647,7847720,French
1648,7816836,English
1649,7672584,French
1650,7597708,English
1651,36824987,English
1652,36413768,English
1653,36401809,English
1654,36201227,English
1655,36135406,English
1656,1485007,English
1657,7559404,English
1658,7514505,French
1659,7377921,French
1660,7342436,French
1661,7043616,French
1662,6911195,English
1663,6882747,English
1664,6863690,French
1665,22501990,English
